pct,pollscore,pollster,state,end_date
48.92058972779012,-1.0849137982790427,YouGov,Nevada,2024-10-13
49.87805742469925,-1.0467577163589534,Quinnipiac,Connecticut,2024-10-12
44.65351317704543,-0.8845062346252259,Ipsos,Virginia,2024-10-14
46.63273155019494,-1.09957902191729,SurveyUSA,Texas,2024-10-13
46.99164799214516,-0.8924132070449413,YouGov,Indiana,2024-10-09
55.33011297594759,-1.0247648382863943,Quinnipiac,Rhode Island,2024-10-01
45.835225252091206,-1.1553737522430618,Marist,Pennsylvania,2024-10-10
48.50751517509111,-0.920905210121098,Marist,Pennsylvania,2024-10-07
48.3260312330581,-1.070721638109342,Emerson,Rhode Island,2024-10-03
47.52685266097953,-0.917234684863806,SurveyUSA,Connecticut,2024-10-13
55.006334553155675,-1.0348066538335368,Siena/NYT,Florida,2024-10-11
47.95410542081584,-1.0036700423561662,Quinnipiac,Virginia,2024-10-09
50.19559253721012,-0.9528193968535559,Siena/NYT,Pennsylvania,2024-10-02
49.220422669417225,-1.0051819763708048,Quinnipiac,New Hampshire,2024-10-13
50.98702389347382,-0.9438472948185933,SurveyUSA,North Carolina,2024-10-09
48.68910295638473,-1.0055276360630172,Emerson,Florida,2024-10-11
49.03133325568132,-1.1371882007192107,Beacon/Shaw,Nebraska,2024-10-07
50.343664485274196,-1.1137179801966461,Siena/NYT,New Hampshire,2024-10-15
52.527176165589744,-1.2732187820361491,Quinnipiac,New Mexico,2024-10-06
51.02744804035206,-1.1082616766188687,Marist,Wisconsin,2024-10-06
50.034304665558565,-1.0228772038889813,Emerson,California,2024-10-02
45.82594317010641,-1.1721640072086654,SurveyUSA,Michigan,2024-10-05
51.50543579195701,-0.9476085530735379,Siena/NYT,Indiana,2024-10-02
53.22908125321178,-0.976359248929378,Beacon/Shaw,New Hampshire,2024-10-09
44.096605910447856,-0.7848850894871615,Siena/NYT,Nebraska,2024-10-16
46.205840945102175,-1.100363093409835,YouGov,National,2024-10-01
45.49216251028661,-1.025731019065658,YouGov,National,2024-10-03
53.658146101600266,-1.0402845924481225,YouGov,Pennsylvania,2024-10-04
47.28515118988368,-0.8847329946440634,Marist,Texas,2024-10-09
51.079918327169324,-0.8616552787038692,Siena/NYT,Georgia,2024-10-02
51.23050099605741,-1.089869064915165,Emerson,North Carolina,2024-10-14
53.73827928011543,-1.1536363218509944,YouGov,New Hampshire,2024-10-03
46.68866697021108,-1.0628672125622045,Emerson,New York,2024-10-08
50.40935524419041,-0.8292604073283116,Beacon/Shaw,California,2024-10-08
51.342272577187636,-1.2797611447711719,Quinnipiac,Wisconsin,2024-10-02
43.35030348480192,-0.8633720516548867,Ipsos,Massachusetts,2024-10-12
48.2472562209562,-0.8327921938730882,Emerson,Connecticut,2024-10-12
46.8366510074995,-1.1696270267408697,YouGov,New Mexico,2024-10-09
